ADC_Value,mV_Value
16650,3121.87
16652,3122.25
16652,3122.25
16626,3117.38
16591,3110.81
16639,3119.81
16648,3121.50
16650,3121.87
16652,3122.25
16652,3122.25
16626,3117.38
16591,3110.81
166116862,3161.62
16791,3148.31
16795,3149.06
16795,3149.06
16794,3148.87
16794,3148.87
16796,3149.25
16796,3149.25
16796,3149.25
16798,3149.62
16797,3149.44
16797,3149.44
16798,3149.62
16796,3149.25
16778,3145.87
16791,3148.31
16793,3148.69
16793,3148.69
16774,3145.12
16761,3142.69
16786,3147.37
16784,3147.00
16768,3144.00
16788,3147.75
16782,3146.62
16713,3133.69
16768,3144.00
16780,3146.25
16764,3143.25
16763,3143.06
16771,3144.56
16773,3144.94
16786,3147.37
16797,3149.44
16797,3149.44
16792,3148.50
16781,3146.44
16788,3147.75
16802,3150.38
16800,3150.00
16790,3148.12
16781,3146.44
16774,3145.12
16793,3148.69
16801,3150.19
16778,3145.87
16716,3134.25
16768,3144.00
16796,3149.25
16797,3149.44
16794,3148.87
16782,3146.62
16789,3147.94
16803,3150.56
16811,3152.06
16800,3150.00
16801,3150.19
16797,3149.44
16807,3151.31
16803,3150.56
16811,3152.06
16798,3149.62
16799,3149.81
16811,3152.06
16820,3153.75
16815,3152.81
16808,3151.50
16807,3151.31
16809,3151.69
16814,3152.62
16819,3153.56
16806,3151.12
16803,3150.56
16816,3153.00
16723,3135.56
16780,3146.25
16765,3143.44
16767,3143.81
16786,3147.37
16788,3147.75
16807,3151.31
16802,3150.38
16810,3151.87
16811,3152.06
16815,3152.81
16824,3154.50
16830,3155.62
16819,3153.56
16815,3152.81
16822,3154.12
16828,3155.25
16809,3151.69
16801,3150.19
16810,3151.87
16791,3148.31
16821,3153.94
16822,3154.12
16807,3151.31
16802,3150.38
16826,3154.87
16830,3155.62
16830,3155.62
16824,3154.50
16821,3153.94
16826,3154.87
16833,3156.19
16835,3156.56
16811,3152.06
16822,3154.12
16834,3156.37
16837,3156.94
16824,3154.50
16820,3153.75
16830,3155.62
16829,3155.44
16813,3152.44
16812,3152.25
16818,3153.37
16760,3142.50
16784,3147.00
16822,3154.12
16822,3154.12
16817,3153.19
16824,3154.50
16830,3155.62
16841,3157.69
16814,3152.62
16828,3155.25
16832,3156.00
16834,3156.37
16816,3153.00
16794,3148.87
16820,3153.75
16834,3156.37
16830,3155.62
16828,3155.25
16829,3155.44
16820,3153.75
16830,3155.62
16759,3142.31
16837,3156.94
16828,3155.25
16828,3155.25
16824,3154.50
16822,3154.12
16837,3156.94
16849,3159.19
16840,3157.50
16823,3154.31
16842,3157.87
16854,3160.12
16853,3159.94
16837,3156.94
16845,3158.44
16846,3158.63
16843,3158.06
16876,3164.25
16867,3162.56
16835,3156.56
16851,3159.56
16829,3155.44
16840,3157.50
16823,3154.31
16828,3155.25
16833,3156.19
16841,3157.69
16839,3157.31
16847,3158.81
16845,3158.44
16788,3147.75
16783,3146.81
16838,3157.12
16832,3156.00
16828,3155.25
16841,3157.69
16857,3160.69
16855,3160.31
16844,3158.25
16836,3156.75
16839,3157.31
16851,3159.56
16853,3159.94
16781,3146.44
16822,3154.12
16842,3157.87
16845,3158.44
16845,3158.44
16839,3157.31
16843,3158.06
16855,3160.31
16858,3160.87
16861,3161.44
16855,3160.31
16839,3157.31
16848,3159.00
16845,3158.44
16851,3159.56
16855,3160.31
16832,3156.00
16839,3157.31
16851,3159.56
16854,3160.12
16858,3160.87
16851,3159.56
16858,3160.87
16855,3160.31
16858,3160.87
16851,3159.56
16847,3158.81
16847,3158.81
16854,3160.12
16868,3162.75
16863,3161.81
16787,3147.56
16819,3153.56
16845,3158.44
16847,3158.81
16826,3154.87
16836,3156.75
16833,3156.19
16862,3161.62
16868,3162.75
16864,3162.00
16860,3161.25
16847,3158.81
16865,3162.19
16873,3163.69
16876,3164.25
16863,3161.81
16870,3163.12
16865,3162.19
16871,3163.31
16866,3162.37
16798,3149.62
16854,3160.12
16860,3161.25
16860,3161.25
16867,3162.56
16857,3160.69
16862,3161.62
16865,3162.19
16868,3162.75
16833,3156.19
16841,3157.69
16857,3160.69
16866,3162.37
16860,3161.25
16866,3162.37
16853,3159.94
16851,3159.56
16868,3162.75
16898,3168.37
16896,3168.00
16880,3165.00
16880,3165.00
16879,3164.81
16882,3165.37
16879,3164.81
16853,3159.94
16864,3162.00
16879,3164.81
16886,3166.12
16890,3166.88
16878,3164.62
16884,3165.75
16884,3165.75
16891,3167.06
16855,3160.31
16812,3152.25
16847,3158.81
16864,3162.00
16874,3163.87
16878,3164.62
16873,3163.69
16869,3162.94
16877,3164.44
16881,3165.19
16888,3166.50
16876,3164.25
16883,3165.56
16880,3165.00
16881,3165.19
16884,3165.75
16882,3165.37
16861,3161.44
16807,3151.31
16876,3164.25
16873,3163.69
16874,3163.87
16872,3163.50
16878,3164.62
16877,3164.44
16885,3165.94
16881,3165.19
16872,3163.50
16887,3166.31
16888,3166.50
16866,3162.37
16864,3162.00
16859,3161.06
16880,3165.00
16894,3167.62
16893,3167.44
16889,3166.69
16882,3165.37
16887,3166.31
16898,3168.37
16896,3168.00
16889,3166.69
16889,3166.69
16897,3168.19
16896,3168.00
16903,3169.31
16876,3164.25
16885,3165.94
16810,3151.87
16876,3164.25
16879,3164.81
16872,3163.50
16886,3166.12
16891,3167.06
16892,3167.25
16878,3164.62
16878,3164.62
16884,3165.75
16903,3169.31
16902,3169.12
16894,3167.62
16893,3167.44
16896,3168.00
16908,3170.25
16905,3169.69
16899,3168.56
16882,3165.37
16857,3160.69
16834,3156.37
16892,3167.25
16882,3165.37
16881,3165.19
16891,3167.06
16895,3167.81
16899,3168.56
16904,3169.50
16891,3167.06
16899,3168.56
16902,3169.12
16906,3169.88
16904,3169.50
16880,3165.00
16875,3164.06
16891,3167.06
16896,3168.00
16897,3168.19
16885,3165.94
16890,3166.88
16908,3170.25
16910,3170.62
16905,3169.69
16897,3168.19
16893,3167.44
16910,3170.62
16908,3170.25
16899,3168.56
16900,3168.75
16909,3170.44
16831,3155.81
16877,3164.44
16891,3167.06
16892,3167.25
16899,3168.56
16904,3169.50
16909,3170.44
16903,3169.31
16889,3166.69
16905,3169.69
16916,3171.75
16911,3170.81
16892,3167.25
16888,3166.50
16901,3168.94
16909,3170.44
16912,3171.00
16901,3168.94
16899,3168.56
16857,3160.69
16853,3159.94
16890,3166.88
