ADC_Value,mV_Value
4330,811.88
4343,814.31
4346,814.88
4353,816.19
4352,816.00
4789,897.94
4793,898.69
4780,896.25
4765,893.44
4774,895.13
4773,894.94
4775,895.31
4807,901.31
4817,903.19
4834,906.38
4869,912.94
4898,918.38
4907,920.06
4933,924.94
4959,929.81
4964,930.75
4986,934.88
5005,938.44
5034,943.88
5034,943.88
5073,951.19
5011,939.56
5051,947.06
5075,951.56
5067,950.06
5097,955.69
5109,957.94
5124,960.75
5148,965.25
5164,968.25
5217,978.19
5227,980.06
5265,987.19
5277,989.44
5256,985.50
5333,999.94
5334,1000.13
5376,1008.00
5395,1011.56
5424,1017.00
5452,1022.25
5478,1027.13
5498,1030.88
5519,1034.81
5552,1041.00
5590,1048.13
5615,1052.81
5635,1056.56
5667,1062.56
5659,1061.06
5663,1061.81
5697,1068.19
5706,1069.88
5709,1070.44
5722,1072.88
5752,1078.50
5770,1081.88
5762,1080.38
5766,1081.13
5784,1084.50
5749,1077.94
5813,1089.94
5840,1095.00
5840,1095.00
5872,1101.00
5896,1105.50
5886,1103.63
5878,1102.13
5887,1103.81
5898,1105.88
5923,1110.56
5940,1113.75
5938,1113.38
5952,1116.00
5956,1116.75
5955,1116.56
5966,1118.63
5993,1123.69
6012,1127.25
6074,1138.88
6148,1152.75
6185,1159.69
6268,1175.25
6363,1193.06
6437,1206.94
6502,1219.13
6568,1231.50
6635,1244.06
6686,1253.63
6706,1257.38
6745,1264.69
6830,1280.63
6890,1291.88
6940,1301.25
6959,1304.81
7062,1324.13
7117,1334.44
7172,1344.75
7211,1352.06
7248,1359.00
7276,1364.25
7314,1371.38
7367,1381.31
7414,1390.13
7449,1396.69
7482,1402.88
7522,1410.38
7547,1415.06
7555,1416.56
7583,1421.81
7621,1428.94
7678,1439.63
7720,1447.50
7755,1454.06
7770,1456.88
7799,1462.31
7835,1469.06
7874,1476.38
7880,1477.50
7856,1473.00
7920,1485.00
7966,1493.63
8007,1501.31
8027,1505.06
8072,1513.50
8126,1523.63
8119,1522.31
8159,1529.81
8179,1533.56
8194,1536.38
8223,1541.81
8244,1545.75
8289,1554.19
8300,1556.25
8323,1560.56
8365,1568.44
8408,1576.50
8398,1574.63
8459,1586.06
8481,1590.19
8514,1596.38
8541,1601.44
8581,1608.94
8633,1618.69
8657,1623.19
8684,1628.25
8698,1630.88
8717,1634.44
8717,1634.44
8754,1641.38
8763,1643.06
8790,1648.13
8795,1649.06
