ADC_Value,mV_Value
10960,2055.00
10993,2061.19
11022,2066.62
11068,2075.25
11086,2078.62
11101,2081.44
10931,2049.56
10960,2055.00
10993,2061.19
11022,2066.62
11068,2075.25
11086,2078.62
11101,2081.44
11112818,2403.37
12772,2394.75
12785,2397.19
12792,2398.50
12803,2400.56
12811,2402.06
12812,2402.25
12828,2405.25
12833,2406.19
12835,2406.56
12850,2409.37
12859,2411.06
12870,2413.12
12879,2414.81
12890,2416.88
12895,2417.81
12902,2419.12
12911,2420.81
12918,2422.12
12916,2421.75
12930,2424.37
12930,2424.37
12904,2419.50
12934,2425.12
12941,2426.44
12927,2423.81
12933,2424.94
12956,2429.25
12902,2419.12
12978,2433.37
12980,2433.75
12989,2435.44
13009,2439.19
13008,2439.00
13025,2442.19
13001,2437.69
13013,2439.94
13018,2440.87
13031,2443.31
13035,2444.06
13046,2446.12
13036,2444.25
13053,2447.44
13057,2448.19
13059,2448.56
13049,2446.69
13044,2445.75
13074,2451.37
13084,2453.25
13031,2443.31
13059,2448.56
13074,2451.37
13083,2453.06
13098,2455.87
13100,2456.25
13099,2456.06
13074,2451.37
13085,2453.44
13089,2454.19
13092,2454.75
13092,2454.75
13084,2453.25
13097,2455.69
13103,2456.81
13107,2457.56
13103,2456.81
13112,2458.50
13118,2459.62
13123,2460.56
13134,2462.62
13121,2460.19
13128,2461.50
13146,2464.87
13095,2455.31
13122,2460.37
13128,2461.50
13132,2462.25
13140,2463.75
13156,2466.75
13152,2466.00
13169,2469.19
13157,2466.94
13165,2468.44
13175,2470.31
13176,2470.50
13153,2466.19
13178,2470.87
13247,2483.81
13275,2489.06
13277,2489.44
13292,2492.25
13313,2496.19
13317,2496.94
13335,2500.31
13331,2499.56
13336,2500.50
13353,2503.69
13364,2505.75
13354,2503.87
13364,2505.75
13374,2507.62
13387,2510.06
13392,2511.00
13404,2513.25
13401,2512.69
13406,2513.62
13408,2514.00
13423,2516.81
13413,2514.94
13399,2512.31
13380,2508.75
13435,2519.06
13428,2517.75
13437,2519.44
13444,2520.75
13456,2523.00
13461,2523.94
13467,2525.06
13472,2526.00
13426,2517.37
13447,2521.31
13486,2528.62
13497,2530.69
13495,2530.31
13499,2531.06
13499,2531.06
13512,2533.50
13501,2531.44
13505,2532.19
13505,2532.19
13521,2535.19
13532,2537.25
13543,2539.31
13543,2539.31
13556,2541.75
13570,2544.37
13575,2545.31
13582,2546.63
13583,2546.81
13572,2544.75
13578,2545.87
13590,2548.12
13567,2543.81
13528,2536.50
13587,2547.56
13610,2551.87
13616,2553.00
13626,2554.88
13615,2552.81
13635,2556.56
13645,2558.44
13654,2560.12
13635,2556.56
13654,2560.12
13670,2563.13
13676,2564.25
13658,2560.87
13673,2563.69
13704,2569.50
13724,2573.25
13742,2576.62
13760,2580.00
13749,2577.94
13744,2577.00
13776,2583.00
13717,2571.94
13771,2582.06
13788,2585.25
13807,2588.81
13824,2592.00
13821,2591.44
13820,2591.25
13814,2590.12
13800,2587.50
13821,2591.44
13821,2591.44
13813,2589.94
13829,2592.94
13849,2596.69
13871,2600.81
13886,2603.62
13890,2604.38
13877,2601.94
13891,2604.56
13908,2607.75
13920,2610.00
13911,2608.31
13851,2597.06
13915,2609.06
13932,2612.25
13943,2614.31
13946,2614.87
13966,2618.62
13966,2618.62
13985,2622.19
13998,2624.62
13992,2623.50
14005,2625.94
14003,2625.56
14014,2627.62
14018,2628.37
14019,2628.56
14021,2628.94
14024,2629.50
14040,2632.50
14054,2635.12
14060,2636.25
14051,2634.56
14066,2637.37
14076,2639.25
14081,2640.19
14008,2626.50
14077,2639.44
14094,2642.62
14098,2643.37
14111,2645.81
14101,2643.94
14109,2645.44
14123,2648.06
14127,2648.81
14126,2648.63
14123,2648.06
14131,2649.56
14140,2651.25
14154,2653.87
14143,2651.81
14145,2652.19
14149,2652.94
14176,2658.00
14170,2656.88
14181,2658.94
14169,2656.69
14193,2661.19
14199,2662.31
14212,2664.75
14138,2650.87
14189,2660.44
14203,2663.06
14226,2667.37
14226,2667.37
14232,2668.50
14230,2668.12
14250,2671.87
14258,2673.38
14258,2673.38
14264,2674.50
14267,2675.06
14269,2675.44
14276,2676.75
14284,2678.25
14284,2678.25
14278,2677.12
14296,2680.50
14305,2682.19
14313,2683.69
14310,2683.12
14312,2683.50
14317,2684.44
14275,2676.56
14277,2676.94
14303,2681.81
14319,2684.81
14335,2687.81
14333,2687.44
14338,2688.37
14347,2690.06
14353,2691.19
14359,2692.31
14347,2690.06
14344,2689.50
14360,2692.50
14364,2693.25
14372,2694.75
14384,2697.00
14376,2695.50
14372,2694.75
14373,2694.94
14382,2696.62
14386,2697.37
14393,2698.69
14379,2696.06
14394,2698.87
