ADC_Value,mV_Value
225,1729.69
9233,1731.19
9220,1728.75
9810,1839.38
9789,1835.44
9749,1827.94
9668,1812.75
9604,1800.75
9475,1776.56
10366,1943.63
10373,1944.94
10397,1949.44
10481,1965.19
10509,1970.44
10529,1974.19
10538,1975.88
10540,1976.25
10553,1978.69
10557,1979.44
10560,1980.00
10601,1987.69
10613,1989.94
10612,1989.75
10592,1986.00
10577,1983.19
10489,1966.69
10520,1972.50
10491,1967.06
11456,2148.00
11458,2148.37
11481,2152.69
11507,2157.56
11560,2167.50
11577,2170.69
11625,2179.69
11665,2187.19
11696,2193.00
11714,2196.38
11756,2204.25
11792,2211.00
11800,2212.50
11863,2224.31
11877,2226.94
11889,2229.19
11920,2235.00
11929,2236.69
11973,2244.94
12001,2250.19
12017,2253.19
12025,2254.69
12036,2256.75
12046,2258.62
12070,2263.12
12057,2260.69
12061,2261.44
12084,2265.75
12096,2268.00
12081,2265.19
12126,2273.63
12204,2288.25
12262,2299.12
12366,2318.62
12472,2338.50
12526,2348.62
12568,2356.50
12613,2364.94
12657,2373.19
12689,2379.19
12736,2388.00
12764,2393.25
12734,2387.62
12811,2402.06
12862,2411.62
12882,2415.37
12901,2418.94
12957,2429.44
12992,2436.00
13031,2443.31
13023,2441.81
13065,2449.69
13095,2455.31
13139,2463.56
13154,2466.37
13190,2473.12
13225,2479.69
13271,2488.31
13302,2494.13
13348,2502.75
13372,2507.25
13406,2513.62
13439,2519.81
13464,2524.50
13500,2531.25
13529,2536.69
13539,2538.56
13566,2543.62
13592,2548.50
13631,2555.81
13638,2557.12
13668,2562.75
13701,2568.94
13724,2573.25
13741,2576.44
13746,2577.37
13739,2576.06
13774,2582.62
13795,2586.56
13812,2589.75
13815,2590.31
13807,2588.81
13818,2590.87
13821,2591.44
13845,2595.94
13898,2605.87
13898,2605.87
13901,2606.44
13906,2607.37
13895,2605.31
13877,2601.94
13861,2598.94
13852,2597.25
13841,2595.19
13892,2604.75
13877,2601.94
13884,2603.25
13906,2607.37
13915,2609.06
13918,2609.62
13914,2608.87
13911,2608.31
13907,2607.56
13918,2609.62
13913,2608.69
13888,2604.00
13882,2602.87
13874,2601.37
13872,2601.00
13844,2595.75
13808,2589.00
14032,2631.00
14054,2635.12
14031,2630.81
14303,2681.81
14768,2769.00
14773,2769.94
14770,2769.37
14776,2770.50
14771,2769.56
14753,2766.19
14756,2766.75
14788,2772.75
14795,2774.06
14802,2775.38
14723,2760.56
14764,2768.25
14792,2773.50
14802,2775.38
14816,2778.00
14807,2776.31
14810,2776.87
14810,2776.87
14818,2778.37
14810,2776.87
14800,2775.00
14823,2779.31
14829,2780.44
14831,2780.81
14817,2778.19
14813,2777.44
14807,2776.31
14801,2775.19
14802,2775.38
14789,2772.94
14772,2769.75
14762,2767.87
14749,2765.44
14740,2763.75
14702,2756.62
14681,2752.69
14656,2748.00
14619,2741.06
14600,2737.50
14598,2737.12
14626,2742.38
14631,2743.31
14626,2742.38
14620,2741.25
14595,2736.56
14579,2733.56
14572,2732.25
14544,2727.00
14496,2718.00
14374,2695.12
15101,2831.44
15101,2831.44
15100,2831.25
15087,2828.81
15079,2827.31
15070,2825.62
15072,2826.00
15068,2825.25
15056,2823.00
15026,2817.37
14999,2812.31
14970,2806.87
14933,2799.94
14856,2785.50
14823,2779.31
14772,2769.75
14635,2744.06
12205,2288.44
12459,2336.06
12574,2357.62
12583,2359.31
12349,2315.44
12352,2316.00
12244,2295.75
12277,2301.94
12250,2296.87
12153,2278.69
12161,2280.19
12239,2294.81
12058,2260.87
12223,2291.81
12296,2305.50
12406,2326.12
12169,2281.69
12226,2292.37
12238,2294.62
12332,2312.25
12355,2316.56
12046,2258.62
12982,2434.12
15487,2903.81
15425,2892.19
15386,2884.87
15323,2873.06
15260,2861.25
15222,2854.12
15178,2845.87
15120,2835.00
15005,2813.44
11765,2205.94
11703,2194.31
11901,2231.44
15450,2896.88
15376,2883.00
15351,2878.31
15341,2876.44
15327,2873.81
15297,2868.19
15275,2864.06
15263,2861.81
15257,2860.69
15233,2856.19
15196,2849.25
15177,2845.69
15164,2843.25
15137,2838.19
15087,2828.81
15031,2818.31
14909,2795.44
14881,2790.19
15619,2928.56
15604,2925.75
15592,2923.50
15559,2917.31
15541,2913.94
15531,2912.06
15506,2907.37
15483,2903.06
15444,2895.75
15451,2897.06
15441,2895.19
15439,2894.81
15417,2890.69
15400,2887.50
15375,2882.81
15361,2880.19
15347,2877.56
15304,2869.50
15287,2866.31
15238,2857.12
15177,2845.69
14838,2782.12
15472,2901.00
15459,2898.56
15425,2892.19
15383,2884.31
15322,2872.87
15253,2859.94
15158,2842.12
15479,2902.31
15432,2893.50
15392,2886.00
15362,2880.37
14106,2644.87
15517,2909.44
15488,2904.00
15419,2891.06
14658,2748.37
15333,2874.94
15351,2878.31
15325,2873.44
15236,2856.75
15116,2834.25
12714,2383.88
13253,2484.94
13325,2498.44
13257,2485.69
13188,2472.75
13150,2465.62
13216,2478.00
13316,2496.75
13470,2525.62
13499,2531.06
13486,2528.62
13519,2534.81
13502,2531.62
13544,2539.50
13536,2538.00
13511,2533.31
13517,2534.44
13515,2534.06
13487,2528.81
13487,2528.81
13497,2530.69
13487,2528.81
13473,2526.19
13492,2529.75
13481,2527.69
13503,2531.81
13552,2541.00
13554,2541.37
13606,2551.12
13569,2544.19
14663,2749.31
15012,2814.75
15234,2856.37
15384,2884.50
15439,2894.81
15482,2902.87
15536,2913.00
15590,2923.12
15605,2925.94
15634,2931.37
15641,2932.69
15671,2938.31
15680,2940.00
15690,2941.87
15689,2941.69
15697,2943.19
15703,2944.31
15694,2942.62
15688,2941.50
15686,2941.12
15694,2942.62
15692,2942.25
15672,2938.50
15661,2936.44
15653,2934.94
15645,2933.44
15625,2929.69
15604,2925.75
15566,2918.62
15549,2915.44
15507,2907.56
15486,2903.62
15453,2897.44
15406,2888.62
15341,2876.44
15311,2870.81
15254,2860.12
15115,2834.06
14749,2765.44
14893,2792.44
14954,2803.87
15069,2825.44
14996,2811.75
15011,2814.56
15030,2818.12
14997,2811.94
15364,2880.75
15085,2828.44
14963,2805.56
15363,2880.56
15386,2884.87
15298,2868.37
15009,2814.19
15368,2881.50
15262,2861.62
15235,2856.56
15809,2964.19
15785,2959.69
15756,2954.25
15728,2949.00
15700,2943.75
15677,2939.44
15646,2933.62
15618,2928.37
15543,2914.31
15706,2944.87
15855,2972.81
15807,2963.81
15744,2952.00
15672,2938.50
15905,2982.19
15864,2974.50
15841,2970.19
15799,2962.31
15781,2958.94
15726,2948.62
15589,2922.94
15941,2988.94
15932,2987.25
15921,2985.19
15894,2980.12
15851,2972.06
15814,2965.12
15768,2956.50
15727,2948.81
15660,2936.25
13152,2466.00
13270,2488.12
13346,2502.38
13311,2495.81
13260,2486.25
13211,2477.06
13333,2499.94
15060,2823.75
15591,2923.31
15755,2954.06
15836,2969.25
15819,2966.06
15887,2978.81
15924,2985.75
15956,2991.75
15915,2984.06
15799,2962.31
15734,2950.12
15797,2961.94
15743,2951.81
15712,2946.00
15603,2925.56
15539,2913.56
15482,2902.87
15806,2963.62
16066,3012.37
16054,3010.12
16230,3043.12
16304,3057.00
16369,3069.19
16405,3075.94
16397,3074.44
16394,3073.87
16359,3067.31
16367,3068.81
16356,3066.75
16348,3065.25
16319,3059.81
16317,3059.44
16261,3048.94
16210,3039.37
16171,3032.06
16139,3026.06
16056,3010.50
16019,3003.56
16010,3001.87
15889,2979.19
15910,2983.12
15795,2961.56
15626,2929.88
15808,2964.00
15608,2926.50
15493,2904.94
15372,2882.25
15385,2884.69
15517,2909.44
15556,2916.75
15644,2933.25
15872,2976.00
15797,2961.94
15836,2969.25
15739,2951.06
15827,2967.56
15972,2994.75
15917,2984.44
15884,2978.25
15661,2936.44
15754,2953.87
15638,2932.12
15055,2822.81
15210,2851.87
15238,2857.12
15206,2851.12
15152,2841.00
15293,2867.44
15563,2918.06
15474,2901.37
15496,2905.50
15215,2852.81
15478,2902.12
15280,2865.00
15335,2875.31
15215,2852.81
15251,2859.56
15580,2921.25
15117,2834.44
14954,2803.87
15038,2819.63
15232,2856.00
15068,2825.25
15072,2826.00
15191,2848.31
15282,2865.37
15192,2848.50
15261,2861.44
15299,2868.56
15536,2913.00
15722,2947.87
15697,2943.19
15467,2900.06
15483,2903.06
15372,2882.25
15177,2845.69
15333,2874.94
15064,2824.50
14998,2812.12
14939,2801.06
16904,3169.50
16859,3161.06
16851,3159.56
16865,3162.19
16860,3161.25
16833,3156.19
16843,3158.06
16850,3159.37
16862,3161.62
16870,3163.12
16867,3162.56
16863,3161.81
16858,3160.87
16863,3161.81
16864,3162.00
16871,3163.31
16856,3160.50
16871,3163.31
16863,3161.81
16867,3162.56
16856,3160.50
16860,3161.25
16868,3162.75
16883,3165.56
16861,3161.44
16859,3161.06
16874,3163.87
16875,3164.06
16877,3164.44
16874,3163.87
16863,3161.81
16852,3159.75
16876,3164.25
16875,3164.06
16884,3165.75
16871,3163.31
16873,3163.69
16880,3165.00
16873,3163.69
16844,3158.25
16859,3161.06
16863,3161.81
16878,3164.62
16870,3163.12
16858,3160.87
16863,3161.81
16868,3162.75
16866,3162.37
16877,3164.44
16875,3164.06
16853,3159.94
16867,3162.56
16867,3162.56
16873,3163.69
16872,3163.50
16869,3162.94
16872,3163.50
16874,3163.87
16864,3162.00
16865,3162.19
16866,3162.37
16871,3163.31
16869,3162.94
16849,3159.19
16852,3159.75
16859,3161.06
16872,3163.50
16871,3163.31
16863,3161.81
16841,3157.69
16831,3155.81
16834,3156.37
16822,3154.12
16797,3149.44
16764,3143.25
16762,3142.87
16757,3141.94
16765,3143.44
16760,3142.50
16749,3140.44
16753,3141.19
16775,3145.31
16757,3141.94
16763,3143.06
16762,3142.87
16764,3143.25
16764,3143.25
16769,3144.19
16779,3146.06
16742,3139.12
16762,3142.87
16782,3146.62
16799,3149.81
16812,3152.25
16815,3152.81
16840,3157.50
16864,3162.00
16870,3163.12
16865,3162.19
16849,3159.19
16875,3164.06
16883,3165.56
16871,3163.31
16863,3161.81
16778,3145.87
16800,3150.00
16830,3155.62
16821,3153.94
16816,3153.00
16818,3153.37
16845,3158.44
16835,3156.56
16837,3156.94
16829,3155.44
16814,3152.62
16822,3154.12
16806,3151.12
16806,3151.12
16772,3144.75
16724,3135.75
16733,3137.44
16731,3137.06
16721,3135.19
16717,3134.44
16717,3134.44
16692,3129.75
16651,3122.06
16703,3131.81
16703,3131.81
16707,3132.56
16720,3135.00
16718,3134.62
16693,3129.94
16693,3129.94
16705,3132.19
16705,3132.19
16721,3135.19
16699,3131.06
16696,3130.50
16688,3129.00
16707,3132.56
16709,3132.94
16709,3132.94
16698,3130.87
16704,3132.00
16741,3138.94
16774,3145.12
16811,3152.06
16868,3162.75
16890,3166.88
16911,3170.81
16926,3173.62
16866,3162.37
16930,3174.37
16934,3175.12
16939,3176.06
16943,3176.81
16949,3177.94
16969,3181.69
16982,3184.12
16995,3186.56
16999,3187.31
16988,3185.25
16989,3185.44
16989,3185.44
16975,3182.81
16985,3184.69
16986,3184.87
16982,3184.12
16996,3186.75
16986,3184.87
16974,3182.62
16975,3182.81
16977,3183.19
16962,3180.37
16953,3178.69
16952,3178.50
16945,3177.19
16946,3177.37
16948,3177.75
16916,3171.75
16881,3165.19
16864,3162.00
16837,3156.94
16803,3150.56
16778,3145.87
16738,3138.37
16682,3127.87
16670,3125.63
16557,3104.44
16547,3102.56
16542,3101.62
16543,3101.81
16559,3104.81
16561,3105.19
16562,3105.37
16571,3107.06
16585,3109.69
16670,3125.63
16768,3144.00
16825,3154.69
16841,3157.69
16870,3163.12
16915,3171.56
16954,3178.87
16964,3180.75
16960,3180.00
16973,3182.44
16989,3185.44
17017,3190.69
17028,3192.75
17022,3191.62
17021,3191.44
17036,3194.25
17048,3196.50
17043,3195.56
17032,3193.50
17040,3195.00
17046,3196.12
17040,3195.00
17041,3195.19
17041,3195.19
17054,3197.62
17064,3199.50
17070,3200.62
17067,3200.06
17058,3198.37
17061,3198.94
17064,3199.50
17059,3198.56
17052,3197.25
17041,3195.19
17047,3196.31
17048,3196.50
17025,3192.19
17024,3192.00
17018,3190.87
17006,3188.62
17004,3188.25
16995,3186.56
16985,3184.69
16978,3183.37
16969,3181.69
16968,3181.50
16969,3181.69
16966,3181.12
16960,3180.00
16966,3181.12
16969,3181.69
16967,3181.31
16972,3182.25
16946,3177.37
16970,3181.87
16967,3181.31
16969,3181.69
16978,3183.37
16960,3180.00
16963,3180.56
16943,3176.81
16945,3177.19
16970,3181.87
16997,3186.94
17002,3187.87
17024,3192.00
17017,3190.69
17019,3191.06
17031,3193.31
17031,3193.31
17043,3195.56
17043,3195.56
17038,3194.63
17040,3195.00
17040,3195.00
17054,3197.62
17063,3199.31
17055,3197.81
17042,3195.37
17053,3197.44
17056,3198.00
17064,3199.50
17055,3197.81
17042,3195.37
17054,3197.62
17052,3197.25
17050,3196.87
17008,3189.00
17025,3192.19
17046,3196.12
17053,3197.44
17058,3198.37
17045,3195.94
17049,3196.69
17037,3194.44
17053,3197.44
17024,3192.00
17021,3191.44
17028,3192.75
17030,3193.12
17033,3193.69
17021,3191.44
17021,3191.44
17013,3189.94
17014,3190.12
17005,3188.44
16993,3186.19
16988,3185.25
16985,3184.69
16978,3183.37
16968,3181.50
16957,3179.44
16932,3174.75
16945,3177.19
16944,3177.00
16938,3175.87
16926,3173.62
16932,3174.75
16930,3174.37
16932,3174.75
16932,3174.75
16928,3174.00
16921,3172.69
16926,3173.62
16920,3172.50
16919,3172.31
16892,3167.25
16893,3167.44
16897,3168.19
16877,3164.44
16859,3161.06
16829,3155.44
16786,3147.37
16782,3146.62
16757,3141.94
16721,3135.19
16650,3121.87
16588,3110.25
16547,3102.56
16482,3090.37
16170,3031.88
16134,3025.12
16323,3060.56
16235,3044.06
16236,3044.25
16255,3047.81
16168,3031.50
16249,3046.69
16366,3068.62
16378,3070.87
16241,3045.19
16276,3051.75
16322,3060.37
16332,3062.25
16368,3069.00
16236,3044.25
16236,3044.25
16317,3059.44
16306,3057.37
16274,3051.37
16491,3092.06
16438,3082.12
16381,3071.44
16348,3065.25
16368,3069.00
16436,3081.75
16459,3086.06
16368,3069.00
16251,3047.06
16242,3045.37
16234,3043.87
16210,3039.37
16382,3071.62
16336,3063.00
16317,3059.44
16253,3047.44
16201,3037.69
16378,3070.87
16367,3068.81
16235,3044.06
16429,3080.44
16462,3086.62
16477,3089.44
16440,3082.50
16538,3100.88
16573,3107.44
16548,3102.75
16424,3079.50
16243,3045.56
16162,3030.37
16321,3060.19
16363,3068.06
16363,3068.06
16628,3117.75
16637,3119.44
16614,3115.12
16624,3117.00
16599,3112.31
16580,3108.75
16547,3102.56
16652,3122.25
16635,3119.06
16623,3116.81
16657,3123.19
16648,3121.50
16632,3118.50
16675,3126.56
16668,3125.25
16647,3121.31
16614,3115.12
16584,3109.50
16569,3106.69
16540,3101.25
16474,3088.87
16378,3070.87
16504,3094.50
16500,3093.75
16476,3089.25
16391,3073.31
16182,3034.12
