ADC_raw,ADC_smooth,ADC_corrected,is_stable
16181.0,16163.297412902557,16440.536643106465,False
16157.0,16179.838960915813,16456.523157625816,False
16183.0,16195.92134595175,16472.050509167857,False
16183.0,16211.551569523746,16487.125699245946,False
16198.0,16226.736633145178,16501.75572937348,False
16195.0,16241.483538329416,16515.947601063814,False
16181.0,16255.799286589841,16529.70831583034,False
16157.0,16269.690879439828,16543.044875186424,False
16183.0,16283.16531839275,16555.964280645443,False
16183.0,16296.229604961985,16568.473533720775,False
16404.0,16308.89074066091,16580.579635925802,False
16403.0,16321.155727002899,16592.289588773885,False
16434.0,16333.03156550133,16603.610393778417,False
16444.0,16344.525257669575,16614.54905245276,False
16427.0,16355.64380502101,16625.112566310294,False
16423.0,16366.394209069016,16635.307936864396,False
16423.0,16376.783471326964,16645.142165628444,False
16434.0,16386.81859330823,16654.62225411581,False
16439.0,16396.506576526193,16663.75520383987,False
16454.0,16405.854422494227,16672.548016314002,False
16459.0,16414.869132725707,16681.007693051582,False
16452.0,16423.55770873401,16689.14123556598,False
16460.0,16431.927152032513,16696.955645370585,False
16463.0,16439.984464134588,16704.457923978756,False
16468.0,16447.73664655361,16711.65507290388,False
16473.0,16455.190700802963,16718.554093659328,False
16475.0,16462.353628396017,16725.161987758478,False
16478.0,16469.232430846147,16731.48575671471,False
16486.0,16475.83410966673,16737.532402041386,False
16495.0,16482.16566637114,16743.3089252519,False
16500.0,16488.234102472758,16748.822327859612,False
16463.0,16494.046419484952,16754.079611377907,False
16490.0,16499.609618921106,16759.087777320157,False
16506.0,16504.93070229459,16763.853827199742,False
16508.0,16510.016671118785,16768.384762530033,False
16424.0,16514.874526907064,16772.687584824413,False
16491.0,16519.5112711728,16776.769295596245,False
16497.0,16523.93390542937,16780.636896358916,False
16507.0,16528.149431190155,16784.297388625797,False
16509.0,16532.164849968525,16787.757773910267,False
16493.0,16535.98716327786,16791.025053725698,False
16496.0,16539.623372631533,16794.10622958547,False
16513.0,16543.080479542918,16797.008303002953,False
16512.0,16546.365485525395,16799.73827549153,False
16526.0,16549.485392092338,16802.30314856457,False
16529.0,16552.447200757124,16804.709923735456,False
16531.0,16555.257913033125,16806.965602517554,False
16539.0,16557.92453043372,16809.07718642425,False
16545.0,16560.454054472284,16811.05167696891,False
16535.0,16562.853486662196,16812.89607566492,False
16546.0,16565.129828514466,16814.617384023288,False
16536.0,16567.93398757115,16816.86650958607,False
16543.0,16569.865807937647,16818.243296458666,False
16567.0,16571.78875848513,16819.611213512246,False
16580.0,16573.513607669076,16820.78102920229,False
16582.0,16575.433622000608,16822.14601003992,False
16584.0,16576.611606789378,16822.76896133479,False
16575.0,16577.233487424044,16822.835808475553,False
16566.0,16577.05321308593,16822.100500643537,False
16521.0,16576.793547313526,16821.28580137723,False
16574.0,16576.392142124463,16820.32936269427,False
16587.0,16578.835303916374,16822.217490992276,False
16602.0,16581.26550033407,16824.092653916072,False
16588.0,16583.896635292225,16826.168755380324,False
16594.0,16586.544510759388,16828.261597353587,False
16613.0,16588.990573812294,16830.15262691259,False
16619.0,16591.637665705948,16832.244685312344,False
16613.0,16593.965674234954,16834.017660347447,False
16611.0,16596.359802968214,16835.856755586807,False
16591.0,16598.72391996244,16837.665839087127,False
16612.0,16601.500962715258,16839.887848346047,False
16626.0,16604.341751648524,16842.17360378541,False
16629.0,16606.616229581752,16843.893048224738,False
16601.0,16608.820806350104,16845.542591499187,False
16616.0,16610.92490219658,16847.091653851763,False
16627.0,16613.067358189757,16848.679076351036,False
16625.0,16615.235529375805,16850.292214043184,False
16617.0,16617.611743696267,16852.113394869742,False
16632.0,16619.93281366734,16853.87943134691,False
16617.0,16622.110661549214,16855.502245734886,False
16635.0,16624.386971704505,16857.223522396274,False
16638.0,16627.288025887592,16859.56954308546,False
16644.0,16629.50949754932,16861.235981253285,False
16646.0,16631.752923833697,16862.924374043763,False
16643.0,16633.92343117569,16864.539847891854,False
16620.0,16636.10182085932,16866.163204081582,False
16627.0,16637.02897182684,16866.5353215552,False
16623.0,16638.963306036967,16867.914622271426,False
16641.0,16640.79299968594,16869.189282426494,False
16621.0,16642.80769533026,16870.648944576915,False
16549.0,16644.670185462768,16871.95640121552,False
16637.0,16646.052776149023,16872.783958407876,False
16645.0,16647.565116703467,16873.741265468416,False
16649.0,16649.33768813537,16874.958803406418,False
16654.0,16650.931397991782,16875.99747976893,False
16641.0,16652.709687471226,16877.220735754472,False
16657.0,16654.568996703114,16878.525011492457,False
16656.0,16656.24323694267,16879.644218238114,False
16660.0,16657.93793748069,16880.783885282228,False
16658.0,16659.76072170085,16882.05163600849,False
16648.0,16661.372972246296,16883.108853060032,False
16656.0,16663.12547371004,16884.306321029875,False
16670.0,16665.630826187033,16886.256640012965,False
16676.0,16667.63666075107,16887.7074410831,False
16669.0,16669.586646040865,16889.102392878995,False
16649.0,16671.48530289684,16890.446016241065,False
16674.0,16673.323304172696,16891.728984023022,False
16675.0,16675.134518303814,16892.985164660236,False
16680.0,16676.651050539556,16893.94666340208,False
16686.0,16678.123449235743,16894.864028604363,False
16670.0,16678.84670505647,16895.032250931188,False
16684.0,16680.206309948997,16895.836822329813,False
16679.0,16681.68656768351,16896.762046570428,False
16693.0,16683.5351224419,16898.055567834912,False
16701.0,16685.075158969823,16899.040570868936,False
16696.0,16686.883361149266,16900.293739554476,False
16674.0,16688.820200464263,16901.675545375572,False
