ADC_Value,mV_Value
18447,3458.81
18397,3449.44
18403,3450.56
18393,3448.69
18406,3451.13
18406,3451.13
18406,3451.13
18407,3451.31
18408,3451.50
18408,3451.50
18408,3451.50
18408,3451.50
18408,3451.50
18408,3451.50
18409,3451.69
18401,3450.19
18407,3451.31
18407,3451.31
18409,3451.69
18407,3451.31
18398,3449.62
18365,3443.44
18341,3438.94
18360,3442.50
18382,3446.62
18389,3447.94
18304,3432.00
18338,3438.37
18375,3445.31
18378,3445.87
18373,3444.94
18391,3448.31
18387,3447.56
18377,3445.69
18373,3444.94
18385,3447.19
18401,3450.19
18400,3450.00
18395,3449.06
18372,3444.75
18350,3440.62
18312,3433.50
18400,3450.00
18395,3449.06
18381,3446.44
18375,3445.31
18382,3446.62
18398,3449.62
18400,3450.00
18402,3450.37
18373,3444.94
18356,3441.75
18376,3445.50
18403,3450.56
18399,3449.81
18384,3447.00
18384,3447.00
18381,3446.44
18306,3432.37
18401,3450.19
18386,3447.37
18369,3444.19
18368,3444.00
18384,3447.00
18391,3448.31
18381,3446.44
18381,3446.44
18380,3446.25
18361,3442.69
18349,3440.44
18356,3441.75
18375,3445.31
18357,3441.94
18344,3439.50
18365,3443.44
18375,3445.31
18292,3429.75
18273,3426.19
18326,3436.12
18301,3431.44
18327,3436.31
18340,3438.75
18352,3441.00
18340,3438.75
18345,3439.69
18349,3440.44
18369,3444.19
18370,3444.37
18362,3442.88
18341,3438.94
18352,3441.00
18365,3443.44
18299,3431.06
18279,3427.31
18330,3436.87
18348,3440.25
18356,3441.75
18345,3439.69
18369,3444.19
18368,3444.00
18356,3441.75
18345,3439.69
18370,3444.37
18374,3445.12
18344,3439.50
18357,3441.94
18355,3441.56
18359,3442.31
18363,3443.06
18324,3435.75
18313,3433.69
18354,3441.37
18358,3442.12
18371,3444.56
18375,3445.31
18377,3445.69
18384,3447.00
18365,3443.44
18359,3442.31
18379,3446.06
18379,3446.06
18370,3444.37
18360,3442.50
18359,3442.31
18369,3444.19
18368,3444.00
18374,3445.12
18268,3425.25
18335,3437.81
18347,3440.06
18357,3441.94
18376,3445.50
18367,3443.81
18352,3441.00
18354,3441.37
18365,3443.44
18373,3444.94
18383,3446.81
18365,3443.44
18350,3440.62
18352,3441.00
18370,3444.37
18354,3441.37
18386,3447.37
18293,3429.94
18276,3426.75
18354,3441.37
18371,3444.56
18370,3444.37
18379,3446.06
18347,3440.06
18346,3439.88
18363,3443.06
18380,3446.25
18373,3444.94
18352,3441.00
18350,3440.62
18361,3442.69
18375,3445.31
18378,3445.87
18378,3445.87
18365,3443.44
18260,3423.75
18346,3439.88
18377,3445.69
18376,3445.50
18375,3445.31
18346,3439.88
18357,3441.94
18378,3445.87
18378,3445.87
18376,3445.50
18355,3441.56
18363,3443.06
18373,3444.94
18381,3446.44
18383,3446.81
18371,3444.56
18370,3444.37
18374,3445.12
18375,3445.31
18303,3431.81
18253,3422.44
18271,3425.81
18347,3440.06
18323,3435.56
18337,3438.19
18348,3440.25
18327,3436.31
18313,3433.69
18299,3431.06
18320,3435.00
18312,3433.50
18313,3433.69
18274,3426.37
18279,3427.31
18291,3429.56
18294,3430.12
18301,3431.44
18230,3418.12
18212,3414.75
18255,3422.81
18264,3424.50
18282,3427.87
18278,3427.12
18279,3427.31
18238,3419.62
18263,3424.31
18275,3426.56
18276,3426.75
18277,3426.94
18259,3423.56
18250,3421.87
18267,3425.06
18267,3425.06
18275,3426.56
18265,3424.69
18244,3420.75
18251,3422.06
18267,3425.06
18269,3425.44
18272,3426.00
18259,3423.56
18245,3420.94
18255,3422.81
18266,3424.87
18268,3425.25
18152,3403.50
18216,3415.50
18240,3420.00
18256,3423.00
18262,3424.12
18261,3423.94
18241,3420.19
18229,3417.94
18241,3420.19
18256,3423.00
18226,3417.37
18228,3417.75
18221,3416.44
18219,3416.06
18229,3417.94
18234,3418.87
18242,3420.37
18178,3408.37
18148,3402.75
18209,3414.19
18222,3416.62
18224,3417.00
18221,3416.44
18215,3415.31
18199,3412.31
18205,3413.44
18224,3417.00
18224,3417.00
18210,3414.37
18198,3412.12
18183,3409.31
18214,3415.13
18220,3416.25
18218,3415.87
18210,3414.37
18143,3401.81
18128,3399.00
18196,3411.75
18212,3414.75
18200,3412.50
18184,3409.50
18188,3410.25
18205,3413.44
18209,3414.19
18205,3413.44
18195,3411.56
18198,3412.12
18191,3410.81
18207,3413.81
18208,3414.00
18200,3412.50
18182,3409.12
18142,3401.62
18121,3397.69
18207,3413.81
18203,3413.06
18188,3410.25
18196,3411.75
18194,3411.37
18210,3414.37
18212,3414.75
18195,3411.56
18191,3410.81
18197,3411.94
18202,3412.87
18209,3414.19
18211,3414.56
18198,3412.12
18185,3409.69
18169,3406.69
18179,3408.56
18213,3414.94
18211,3414.56
18167,3406.31
18191,3410.81
18198,3412.12
18213,3414.94
18213,3414.94
18212,3414.75
18197,3411.94
18183,3409.31
18191,3410.81
18119,3397.31
18191,3410.81
18195,3411.56
18191,3410.81
18193,3411.19
18205,3413.44
18210,3414.37
18208,3414.00
18188,3410.25
18186,3409.87
18194,3411.37
18209,3414.19
18223,3416.81
18206,3413.62
18196,3411.75
18191,3410.81
18205,3413.44
18131,3399.56
18178,3408.37
18190,3410.62
18194,3411.37
18201,3412.69
18212,3414.75
18212,3414.75
18216,3415.50
18195,3411.56
18202,3412.87
18216,3415.50
18220,3416.25
18217,3415.69
18206,3413.62
18186,3409.87
18210,3414.37
18224,3417.00
18141,3401.44
18159,3404.81
18205,3413.44
18201,3412.69
18222,3416.62
18229,3417.94
18232,3418.50
18236,3419.25
18209,3414.19
18221,3416.44
18232,3418.50
18244,3420.75
18235,3419.06
18221,3416.44
18222,3416.62
18242,3420.37
18238,3419.62
18248,3421.50
18225,3417.19
18238,3419.62
18235,3419.06
18252,3422.25
18255,3422.81
18249,3421.69
18246,3421.12
18235,3419.06
18247,3421.31
18189,3410.44
18186,3409.87
18235,3419.06
18233,3418.69
18236,3419.25
18252,3422.25
18249,3421.69
18259,3423.56
18245,3420.94
18241,3420.19
18251,3422.06
18259,3423.56
18259,3423.56
18258,3423.38
18253,3422.44
18235,3419.06
18248,3421.50
18205,3413.44
18181,3408.94
18245,3420.94
18239,3419.81
18237,3419.44
18239,3419.81
18258,3423.38
18260,3423.75
18253,3422.44
18244,3420.75
18251,3422.06
18267,3425.06
18269,3425.44
18257,3423.19
18244,3420.75
18251,3422.06
18259,3423.56
18271,3425.81
18155,3404.06
18249,3421.69
18254,3422.62
18272,3426.00
18275,3426.56
18241,3420.19
18248,3421.50
18266,3424.87
18256,3423.00
18243,3420.56
18275,3426.56
18279,3427.31
18277,3426.94
18272,3426.00
18274,3426.37
18269,3425.44
18265,3424.69
18279,3427.31
18266,3424.87
18256,3423.00
18207,3413.81
18183,3409.31
18282,3427.87
18280,3427.50
18274,3426.37
18255,3422.81
18263,3424.31
18282,3427.87
18281,3427.69
18282,3427.87
18266,3424.87
18260,3423.75
18214,3415.13
18193,3411.19
18272,3426.00
18272,3426.00
18267,3425.06
18259,3423.56
18274,3426.37
18265,3424.69
18274,3426.37
18260,3423.75
18246,3421.12
18266,3424.87
18261,3423.94
18273,3426.19
18277,3426.94
18253,3422.44
18257,3423.19
18184,3409.50
18201,3412.69
18266,3424.87
18265,3424.69
18250,3421.87
18262,3424.12
18269,3425.44
18278,3427.12
18278,3427.12
18268,3425.25
18269,3425.44
18281,3427.69
18282,3427.87
18281,3427.69
18281,3427.69
18265,3424.69
18270,3425.62
18287,3428.81
18204,3413.25
18208,3414.00
18261,3423.94
18268,3425.25
18277,3426.94
18289,3429.19
18291,3429.56
18289,3429.19
18268,3425.25
18273,3426.19
18293,3429.94
18294,3430.12
18289,3429.19
18287,3428.81
18274,3426.37
18274,3426.37
18294,3430.12
18294,3430.12
18187,3410.06
18252,3422.25
18285,3428.44
18297,3430.69
18294,3430.12
18298,3430.87
18272,3426.00
18289,3429.19
18293,3429.94
18295,3430.31
18299,3431.06
18291,3429.56
18279,3427.31
18282,3427.87
18300,3431.25
18300,3431.25
18305,3432.19
18223,3416.81
18244,3420.75
18287,3428.81
18295,3430.31
18282,3427.87
18292,3429.75
18273,3426.19
18283,3428.06
18297,3430.69
18302,3431.63
18305,3432.19
18297,3430.69
18266,3424.87
18287,3428.81
18305,3432.19
18306,3432.37
18291,3429.56
18260,3423.75
18263,3424.31
18302,3431.63
18309,3432.94
18312,3433.50
18305,3432.19
18291,3429.56
18292,3429.75
18314,3433.87
18314,3433.87
18320,3435.00
18288,3429.00
18298,3430.87
18201,3412.69
18302,3431.63
18316,3434.25
18310,3433.12
18315,3434.06
18309,3432.94
18328,3436.50
18330,3436.87
18325,3435.94
18310,3433.12
18307,3432.56
18304,3432.00
18334,3437.62
18335,3437.81
18339,3438.56
18321,3435.19
18322,3435.37
18323,3435.56
18333,3437.44
18342,3439.12
18331,3437.06
18324,3435.75
18316,3434.25
18333,3437.44
18336,3438.00
18306,3432.37
18222,3416.62
18258,3423.38
18323,3435.56
18333,3437.44
18333,3437.44
18322,3435.37
18317,3434.44
18317,3434.44
18336,3438.00
18336,3438.00
18337,3438.19
18318,3434.63
18305,3432.19
18319,3434.81
18332,3437.25
18348,3440.25
18313,3433.69
18237,3419.44
18316,3434.25
18330,3436.87
18334,3437.62
18331,3437.06
18343,3439.31
18328,3436.50
18313,3433.69
18337,3438.19
18340,3438.75
18344,3439.50
18335,3437.81
18325,3435.94
18332,3437.25
18345,3439.69
18348,3440.25
18342,3439.12
18268,3425.25
18266,3424.87
18330,3436.87
18329,3436.69
18342,3439.12
18341,3438.94
18327,3436.31
18337,3438.19
18353,3441.19
18361,3442.69
18310,3433.12
18321,3435.19
18334,3437.62
18341,3438.94
18352,3441.00
18359,3442.31
18328,3436.50
18310,3433.12
18270,3425.62
18354,3441.37
18354,3441.37
18344,3439.50
18330,3436.87
18332,3437.25
18344,3439.50
18353,3441.19
18353,3441.19
18345,3439.69
18332,3437.25
18333,3437.44
18347,3440.06
18347,3440.06
18347,3440.06
18341,3438.94
18324,3435.75
18336,3438.00
18343,3439.31
18344,3439.50
18342,3439.12
18346,3439.88
18342,3439.12
18300,3431.25
18303,3431.81
18338,3438.37
18346,3439.88
18340,3438.75
18296,3430.50
18280,3427.50
18344,3439.50
18335,3437.81
18330,3436.87
18328,3436.50
18337,3438.19
18347,3440.06
18351,3440.81
18326,3436.12
18318,3434.63
18331,3437.06
18352,3441.00
18353,3441.19
18355,3441.56
18348,3440.25
18339,3438.56
18273,3426.19
18266,3424.87
18355,3441.56
18353,3441.19
18332,3437.25
18342,3439.12
18354,3441.37
18369,3444.19
18366,3443.62
18356,3441.75
18341,3438.94
18348,3440.25
18366,3443.62
18368,3444.00
18361,3442.69
18347,3440.06
18340,3438.75
18346,3439.88
18364,3443.25
18364,3443.25
18351,3440.81
18341,3438.94
18346,3439.88
18354,3441.37
18356,3441.75
18352,3441.00
18272,3426.00
18247,3421.31
18320,3435.00
18328,3436.50
18269,3425.44
18287,3428.81
18266,3424.87
18275,3426.56
18294,3430.12
18288,3429.00
18287,3428.81
18264,3424.50
18241,3420.19
18267,3425.06
18274,3426.37
18268,3425.25
18262,3424.12
18215,3415.31
18177,3408.19
18268,3425.25
18259,3423.56
18275,3426.56
18269,3425.44
18257,3423.19
18256,3423.00
18272,3426.00
18270,3425.62
18275,3426.56
18261,3423.94
18236,3419.25
18263,3424.31
18273,3426.19
18275,3426.56
18268,3425.25
18260,3423.75
18160,3405.00
18233,3418.69
18267,3425.06
18278,3427.12
18267,3425.06
18259,3423.56
18260,3423.75
18279,3427.31
18285,3428.44
18284,3428.25
18264,3424.50
18267,3425.06
18271,3425.81
18282,3427.87
18286,3428.62
18285,3428.44
18272,3426.00
18269,3425.44
18281,3427.69
18288,3429.00
18276,3426.75
18270,3425.62
18271,3425.81
18274,3426.37
18283,3428.06
18286,3428.62
18270,3425.62
18278,3427.12
18279,3427.31
18280,3427.50
18256,3423.00
18253,3422.44
18250,3421.87
18258,3423.38
18259,3423.56
18260,3423.75
18274,3426.37
18265,3424.69
18258,3423.38
18232,3418.50
18241,3420.19
18250,3421.87
18270,3425.62
18262,3424.12
18251,3422.06
18241,3420.19
18271,3425.81
18274,3426.37
18271,3425.81
18263,3424.31
18250,3421.87
18260,3423.75
18275,3426.56
18279,3427.31
18281,3427.69
18279,3427.31
18262,3424.12
18269,3425.44
18284,3428.25
18287,3428.81
18287,3428.81
18267,3425.06
18132,3399.75
18152,3403.50
18250,3421.87
18098,3393.37
17602,3300.37
18068,3387.75
17428,3267.75
17908,3357.75
18045,3383.44
18037,3381.94
18085,3390.94
18083,3390.56
18105,3394.69
18112,3396.00
17756,3329.25
17818,3340.87
18126,3398.63
18127,3398.81
18227,3417.56
17916,3359.25
17979,3371.06
17903,3356.81
18218,3415.87
18141,3401.44
18178,3408.37
18226,3417.37
18240,3420.00
18213,3414.94
18234,3418.87
18257,3423.19
18248,3421.50
18264,3424.50
18232,3418.50
18239,3419.81
18236,3419.25
18259,3423.56
18261,3423.94
18252,3422.25
18235,3419.06
18230,3418.12
18240,3420.00
18252,3422.25
18257,3423.19
18254,3422.62
18246,3421.12
18236,3419.25
18241,3420.19
18256,3423.00
18239,3419.81
18223,3416.81
18235,3419.06
18253,3422.44
18264,3424.50
18275,3426.56
18270,3425.62
18254,3422.62
18263,3424.31
18278,3427.12
18279,3427.31
18286,3428.62
18270,3425.62
