ADC_Value,mV_Value
20149,3777.94
20126,3773.63
20061,3761.44  3792.19
20217,3790.69
20215,3790.31
20211,3789.56
20202,3787.87
20149,3777.94
20126,3773.63
20027,3755.06
20026,3754.87
20025,3754.69
20021,3753.94
20019,3753.56
20016,3753.00
20014,3752.62
20009,3751.69
19972,3744.75
19998,3749.62
19990,3748.12
19985,3747.19
19985,3747.19
19988,3747.75
19986,3747.37
19978,3745.87
19972,3744.75
19970,3744.37
19955,3741.56
19942,3739.12
19940,3738.75
19889,3729.19
19863,3724.31
19839,3719.81
19927,3736.31
19928,3736.50
19918,3734.62
19911,3733.31
19921,3735.19
19918,3734.62
19919,3734.81
19882,3727.87
19891,3729.56
19895,3730.31
19909,3732.94
19880,3727.50
19896,3730.50
19878,3727.12
19862,3724.13
19891,3729.56
19894,3730.12
19889,3729.19
19876,3726.75
19868,3725.25
19871,3725.81
19884,3728.25
19838,3719.62
19851,3722.06
19844,3720.75
19852,3722.25
19836,3719.25
19860,3723.75
19864,3724.50
19853,3722.44
19831,3718.31
19832,3718.50
19848,3721.50
19846,3721.13
19849,3721.69
19847,3721.31
19832,3718.50
19828,3717.75
19843,3720.56
19833,3718.69
19830,3718.12
19797,3711.94
19791,3710.81
19825,3717.19
19831,3718.31
19826,3717.37
19798,3712.12
19806,3713.62
19798,3712.12
19705,3694.69
19740,3701.25
19786,3709.87
19743,3701.81
19693,3692.44
19786,3709.87
19812,3714.75
19760,3705.00
19778,3708.37
19787,3710.06
19799,3712.31
19799,3712.31
19815,3715.31
19805,3713.44
19794,3711.37
19794,3711.37
19804,3713.25
19711,3695.81
19736,3700.50
19758,3704.63
19770,3706.87
19774,3707.63
19786,3709.87
19796,3711.75
19795,3711.56
19773,3707.44
19771,3707.06
19778,3708.37
19784,3709.50
19778,3708.37
19768,3706.50
19759,3704.81
19773,3707.44
19764,3705.75
19771,3707.06
19640,3682.50
19721,3697.69
19738,3700.87
19741,3701.44
19757,3704.44
19755,3704.06
19740,3701.25
19743,3701.81
19754,3703.87
19755,3704.06
19751,3703.31
19751,3703.31
19723,3698.06
19732,3699.75
19726,3698.62
19746,3702.37
19633,3681.19
19694,3692.62
19723,3698.06
19733,3699.94
19736,3700.50
19745,3702.19
19728,3699.00
19718,3697.12
19721,3697.69
19732,3699.75
19737,3700.69
19733,3699.94
19664,3687.00
19632,3681.00
19685,3690.94
19723,3698.06
19721,3697.69
19719,3697.31
19713,3696.19
19714,3696.38
19724,3698.25
19723,3698.06
19595,3674.06
19682,3690.37
19691,3692.06
19710,3695.62
19710,3695.62
19715,3696.56
19699,3693.56
19684,3690.75
19698,3693.37
19708,3695.25
19700,3693.75
19701,3693.94
19679,3689.81
19672,3688.50
19686,3691.12
19699,3693.56
19691,3692.06
19679,3689.81
19668,3687.75
19679,3689.81
19697,3693.19
19690,3691.87
19686,3691.12
19668,3687.75
19667,3687.56
19689,3691.69
19688,3691.50
19646,3683.62
19657,3685.69
19670,3688.13
19679,3689.81
19681,3690.19
19676,3689.25
19649,3684.19
19629,3680.44
19665,3687.19
19591,3673.31
19583,3671.81
19620,3678.75
19614,3677.62
19639,3682.31
19639,3682.31
19659,3686.06
19650,3684.37
19631,3680.81
19627,3680.06
19653,3684.94
19613,3677.44
19578,3670.87
19573,3669.94
19625,3679.69
19636,3681.75
19645,3683.44
19656,3685.50
19635,3681.56
19616,3678.00
19621,3678.94
19638,3682.12
19638,3682.12
19630,3680.62
19623,3679.31
19524,3660.75
19579,3671.06
19630,3680.62
19606,3676.12
19620,3678.75
19595,3674.06
19603,3675.56
19619,3678.56
19634,3681.37
19629,3680.44
19620,3678.75
19606,3676.12
19609,3676.69
19617,3678.19
19624,3679.50
19612,3677.25
19589,3672.94
19598,3674.62
19590,3673.12
19622,3679.12
19622,3679.12
19615,3677.81
19599,3674.81
19605,3675.94
19614,3677.62
19617,3678.19
19615,3677.81
19602,3675.37
19599,3674.81
19607,3676.31
19615,3677.81
19529,3661.69
19529,3661.69
19561,3667.69
19593,3673.69
19598,3674.62
19606,3676.12
19542,3664.12
19466,3649.87
19506,3657.37
19594,3673.87
19600,3675.00
19598,3674.62
19580,3671.25
19573,3669.94
19573,3669.94
19596,3674.25
19592,3673.50
19570,3669.37
19564,3668.25
19563,3668.06
19585,3672.19
19596,3674.25
19588,3672.75
19573,3669.94
19532,3662.25
19549,3665.44
19576,3670.50
19555,3666.56
19560,3667.50
19556,3666.75
19547,3665.06
19564,3668.25
19568,3669.00
19576,3670.50
19560,3667.50
19555,3666.56
19555,3666.56
19549,3665.44
19557,3666.94
19524,3660.75
19514,3658.87
19514,3658.87
19545,3664.69
19548,3665.25
19551,3665.81
19562,3667.87
19537,3663.19
19521,3660.19
19540,3663.75
19541,3663.94
19513,3658.69
19530,3661.87
19536,3663.00
19535,3662.81
19493,3654.94
19505,3657.19
19524,3660.75
19493,3654.94
19511,3658.31
19521,3660.19
19524,3660.75
19523,3660.56
19514,3658.87
19500,3656.25
19504,3657.00
19521,3660.19
19502,3656.62
19495,3655.31
19464,3649.50
19471,3650.81
19497,3655.69
19488,3654.00
19484,3653.25
19459,3648.56
19477,3651.94
19482,3652.87
19505,3657.19
19504,3657.00
19495,3655.31
19458,3648.37
19468,3650.25
19481,3652.69
19499,3656.06
19496,3655.50
19472,3651.00
19474,3651.37
19479,3652.31
19179,3596.06
18668,3500.25
19147,3590.06
19049,3571.69
18956,3554.25
19189,3597.94
19135,3587.81
18991,3560.81
19517,3659.44
19410,3639.37
19395,3636.56
19393,3636.19
19373,3632.44
19252,3609.75
19302,3619.13
19336,3625.50
19341,3626.44
19347,3627.56
19339,3626.06
19301,3618.94
19317,3621.94
19332,3624.75
19305,3619.69
19343,3626.81
19340,3626.25
19335,3625.31
19326,3623.62
19332,3624.75
19341,3626.44
19341,3626.44
19249,3609.19
19255,3610.31
19309,3620.44
19311,3620.81
19311,3620.81
19304,3619.50
19295,3617.81
19329,3624.19
19336,3625.50
19340,3626.25
19333,3624.94
19322,3622.87
19323,3623.06
19333,3624.94
19334,3625.12
19342,3626.62
19331,3624.56
19309,3620.44
19310,3620.62
19334,3625.12
19334,3625.12
19328,3624.00
19314,3621.37
19308,3620.25
19333,3624.94
19332,3624.75
19317,3621.94
19325,3623.44
19302,3619.13
19320,3622.50
19334,3625.12
19330,3624.37
19329,3624.19
19259,3611.06
19243,3608.06
19307,3620.06
19330,3624.37
19326,3623.62
19316,3621.75
19311,3620.81
19324,3623.25
19334,3625.12
19328,3624.00
19321,3622.69
19240,3607.50
19276,3614.25
19298,3618.37
19326,3623.62
19325,3623.44
19328,3624.00
19329,3624.19
19284,3615.75
19295,3617.81
19323,3623.06
19298,3618.37
19303,3619.31
19319,3622.31
19317,3621.94
19315,3621.56
19304,3619.50
