ADC_Value,mV_Value
8891,3542.06
18882,3540.37
18935,3550.31
18934,3550.12
18931,3549.56
18935,3550.31
18933,3549.94
18891,3542.06
18882,3540.37
118839,3532.31
18788,3522.75
18794,3523.87
18795,3524.06
18789,3522.94
18791,3523.31
18788,3522.75
18780,3521.25
18774,3520.12
18775,3520.31
18792,3523.50
18792,3523.50
18792,3523.50
18793,3523.69
18792,3523.50
18791,3523.31
18790,3523.12
18786,3522.37
18790,3523.12
18788,3522.75
18786,3522.37
18792,3523.50
18704,3507.00
18652,3497.25
18756,3516.75
18731,3512.06
18770,3519.37
18769,3519.19
18757,3516.94
18758,3517.13
18771,3519.56
18769,3519.19
18762,3517.87
18738,3513.37
18743,3514.31
18758,3517.13
18764,3518.25
18685,3503.44
18718,3509.62
18747,3515.06
18742,3514.12
18763,3518.06
18765,3518.44
18769,3519.19
18749,3515.44
18730,3511.87
18750,3515.62
18762,3517.87
18764,3518.25
18743,3514.31
18736,3513.00
18721,3510.19
18730,3511.87
18756,3516.75
18753,3516.19
18757,3516.94
18733,3512.44
18732,3512.25
18754,3516.37
18757,3516.94
18674,3501.37
18685,3503.44
18729,3511.69
18748,3515.25
18748,3515.25
18742,3514.12
18721,3510.19
18723,3510.56
18730,3511.87
18741,3513.94
18741,3513.94
18743,3514.31
18717,3509.44
18718,3509.62
18741,3513.94
18740,3513.75
18737,3513.19
18585,3484.69
18640,3495.00
18658,3498.37
18701,3506.44
18700,3506.25
18702,3506.62
18704,3507.00
18724,3510.75
18719,3509.81
18696,3505.50
18693,3504.94
18712,3508.50
18716,3509.25
18705,3507.19
18706,3507.37
18681,3502.69
18676,3501.75
18700,3506.25
18609,3489.19
18709,3507.94
18706,3507.37
18699,3506.06
18689,3504.19
18686,3503.62
18705,3507.19
18702,3506.62
18704,3507.00
18678,3502.12
18696,3505.50
18717,3509.44
18707,3507.56
18690,3504.37
18685,3503.44
18631,3493.31
18639,3494.81
18695,3505.31
18720,3510.00
18703,3506.81
18695,3505.31
18703,3506.81
18724,3510.75
18692,3504.75
18710,3508.12
18712,3508.50
18670,3500.63
18674,3501.37
18692,3504.75
18717,3509.44
18731,3512.06
18712,3508.50
18633,3493.69
18730,3511.87
18739,3513.56
18736,3513.00
18725,3510.94
18722,3510.37
18724,3510.75
18736,3513.00
18744,3514.50
18745,3514.69
18742,3514.12
18730,3511.87
18724,3510.75
18745,3514.69
18723,3510.56
18742,3514.12
18727,3511.31
18643,3495.56
18714,3508.88
18743,3514.31
18737,3513.19
18728,3511.50
18696,3505.50
18687,3503.81
18702,3506.62
18694,3505.12
18669,3500.44
18631,3493.31
18624,3492.00
18625,3492.19
18614,3490.12
18595,3486.56
18583,3484.31
18473,3463.69
18482,3465.37
18560,3480.00
18559,3479.81
18537,3475.69
18513,3471.19
18515,3471.56
18525,3473.44
18532,3474.75
18525,3473.44
18515,3471.56
18502,3469.12
18510,3470.62
18521,3472.69
18507,3470.06
18516,3471.75
18401,3450.19
18466,3462.37
18507,3470.06
18506,3469.87
18501,3468.94
18501,3468.94
18482,3465.37
18487,3466.31
18502,3469.12
18484,3465.75
18499,3468.56
18476,3464.25
18483,3465.56
18492,3467.25
18501,3468.94
18502,3469.12
18394,3448.87
18426,3454.87
18462,3461.62
18487,3466.31
18488,3466.50
18487,3466.31
18479,3464.81
18476,3464.25
18427,3455.06
18440,3457.50
18470,3463.12
18437,3456.94
18447,3458.81
18450,3459.38
18451,3459.56
18463,3461.81
18454,3460.12
18451,3459.56
18437,3456.94
18447,3458.81
18464,3462.00
18466,3462.37
18456,3460.50
18431,3455.81
18452,3459.75
18472,3463.50
18473,3463.69
18468,3462.75
18436,3456.75
18357,3441.94
18448,3459.00
18471,3463.31
18476,3464.25
18477,3464.44
18450,3459.38
18458,3460.87
18464,3462.00
18482,3465.37
18480,3465.00
18478,3464.62
18463,3461.81
18450,3459.38
18477,3464.44
