ADC_Value,mV_Value
20731,3887.06
20725,3885.94
20668,3875.25
20660,3873.75
20756,3891.75
20744,3889.50
20741,3888.94
20731,3887.06
20725,3885.94
20668,3875.25
20660,3873.75
220194,3786.37
20138,3775.87
20160,3780.00
20163,3780.56
20186,3784.87
20191,3785.81
20196,3786.75
20195,3786.56
20189,3785.44
20178,3783.37
20154,3778.87
20148,3777.75
20150,3778.12
20147,3777.56
20152,3778.50
20113,3771.19
20103,3769.31
20126,3773.63
20148,3777.75
20152,3778.50
20148,3777.75
20140,3776.25
20059,3761.06
20018,3753.37
20036,3756.75
20104,3769.50
20100,3768.75
20091,3767.06
20079,3764.81
20095,3767.81
20104,3769.50
20087,3766.31
20081,3765.19
20071,3763.31
20079,3764.81
20092,3767.25
20082,3765.38
20087,3766.31
19981,3746.44
20017,3753.19
20048,3759.00
20063,3761.81
20077,3764.44
20073,3763.69
20050,3759.37
20063,3761.81
20075,3764.06
20064,3762.00
20069,3762.94
20048,3759.00
20051,3759.56
20024,3754.50
20045,3758.44
20065,3762.19
20057,3760.69
20039,3757.31
20037,3756.94
20052,3759.75
20057,3760.69
20052,3759.75
20033,3756.19
19929,3736.69
19969,3744.19
20041,3757.69
20043,3758.06
20036,3756.75
20033,3756.19
20019,3753.56
20028,3755.25
20034,3756.37
20028,3755.25
20023,3754.31
20003,3750.56
19999,3749.81
20022,3754.12
19943,3739.31
19930,3736.87
19967,3743.81
19995,3749.06
19979,3746.06
20015,3752.81
20026,3754.87
19989,3747.94
19992,3748.50
19940,3738.75
19958,3742.12
20010,3751.87
20007,3751.31
20005,3750.94
19995,3749.06
19981,3746.44
19998,3749.62
20005,3750.94
19999,3749.81
19982,3746.62
19979,3746.06
19990,3748.12
20001,3750.19
19924,3735.75
19909,3732.94
19953,3741.19
19973,3744.94
19950,3740.63
19978,3745.87
19951,3740.81
19958,3742.12
19969,3744.19
19967,3743.81
19971,3744.56
19961,3742.69
19945,3739.69
19921,3735.19
19943,3739.31
19835,3719.06
19880,3727.50
19941,3738.94
19925,3735.94
19928,3736.50
19933,3737.44
19944,3739.50
19942,3739.12
19923,3735.56
19913,3733.69
19922,3735.37
19919,3734.81
19926,3736.12
19920,3735.00
19922,3735.37
19923,3735.56
19902,3731.62
19886,3728.62
19916,3734.25
19802,3712.88
19861,3723.94
19888,3729.00
19907,3732.56
19875,3726.56
19888,3729.00
19880,3727.50
19864,3724.50
19902,3731.62
19903,3731.81
19900,3731.25
19882,3727.87
19884,3728.25
19828,3717.75
19845,3720.94
19871,3725.81
19870,3725.62
19857,3723.19
19844,3720.75
19870,3725.62
19892,3729.75
19890,3729.38
19876,3726.75
19861,3723.94
19872,3726.00
19886,3728.62
19885,3728.44
19876,3726.75
19758,3704.63
19859,3723.56
19870,3725.62
19881,3727.69
19879,3727.31
19860,3723.75
19866,3724.87
19871,3725.81
19883,3728.06
19880,3727.50
19880,3727.50
19867,3725.06
19865,3724.69
19846,3721.13
19770,3706.87
19804,3713.25
19875,3726.56
19864,3724.50
19865,3724.69
19879,3727.31
19865,3724.69
19885,3728.44
19883,3728.06
19869,3725.44
19875,3726.56
19890,3729.38
19892,3729.75
19871,3725.81
19815,3715.31
19840,3720.00
19868,3725.25
19890,3729.38
19871,3725.81
19875,3726.56
19868,3725.25
19869,3725.44
19889,3729.19
19880,3727.50
19863,3724.31
19864,3724.50
19864,3724.50
19754,3703.87
19831,3718.31
19878,3727.12
19878,3727.12
19871,3725.81
19873,3726.19
19896,3730.50
19880,3727.50
19864,3724.50
19867,3725.06
19864,3724.50
19880,3727.50
19881,3727.69
19886,3728.62
19874,3726.37
19770,3706.87
19844,3720.75
19850,3721.87
19881,3727.69
19863,3724.31
19853,3722.44
19864,3724.50
19874,3726.37
19880,3727.50
19878,3727.12
19882,3727.87
19860,3723.75
19858,3723.37
19796,3711.75
19797,3711.94
19862,3724.13
19862,3724.13
19847,3721.31
19844,3720.75
19881,3727.69
19887,3728.81
19878,3727.12
19852,3722.25
19875,3726.56
19886,3728.62
19886,3728.62
19869,3725.44
19840,3720.00
19854,3722.62
19881,3727.69
19797,3711.94
19824,3717.00
19862,3724.13
19846,3721.13
19865,3724.69
19891,3729.56
19879,3727.31
19895,3730.31
19884,3728.25
19871,3725.81
19876,3726.75
19895,3730.31
19899,3731.06
19891,3729.56
19878,3727.12
19845,3720.94
19824,3717.00
19868,3725.25
19874,3726.37
19883,3728.06
19873,3726.19
19881,3727.69
19891,3729.56
19881,3727.69
19890,3729.38
19867,3725.06
19863,3724.31
19878,3727.12
19881,3727.69
19892,3729.75
19835,3719.06
19813,3714.94
19852,3722.25
19862,3724.13
19864,3724.50
19884,3728.25
19868,3725.25
19875,3726.56
19875,3726.56
19878,3727.12
19888,3729.00
19886,3728.62
19876,3726.75
19869,3725.44
19819,3716.06
19808,3714.00
19871,3725.81
19877,3726.94
19869,3725.44
19876,3726.75
19889,3729.19
19892,3729.75
19878,3727.12
19864,3724.50
19875,3726.56
19827,3717.56
19885,3728.44
19879,3727.31
19856,3723.00
19770,3706.87
19843,3720.56
19878,3727.12
19888,3729.00
19878,3727.12
19867,3725.06
19858,3723.37
19881,3727.69
19889,3729.19
19889,3729.19
19870,3725.62
19862,3724.13
19873,3726.19
19803,3713.06
19827,3717.56
19871,3725.81
19864,3724.50
19864,3724.50
19874,3726.37
19883,3728.06
19885,3728.44
19879,3727.31
19860,3723.75
19867,3725.06
19877,3726.94
19881,3727.69
19883,3728.06
19845,3720.94
19777,3708.19
19846,3721.13
19870,3725.62
19875,3726.56
19867,3725.06
19854,3722.62
19849,3721.69
19862,3724.13
19872,3726.00
19872,3726.00
19866,3724.87
19840,3720.00
19836,3719.25
19778,3708.37
19788,3710.25
19860,3723.75
19845,3720.94
19836,3719.25
19846,3721.13
19849,3721.69
19856,3723.00
19846,3721.13
19849,3721.69
19815,3715.31
19823,3716.81
19859,3723.56
19856,3723.00
19838,3719.62
19838,3719.62
19842,3720.37
19753,3703.69
19788,3710.25
19829,3717.94
19817,3715.69
19810,3714.37
19849,3721.69
19856,3723.00
19862,3724.13
19849,3721.69
19842,3720.37
19855,3722.81
19859,3723.56
19866,3724.87
19864,3724.50
19756,3704.25
19804,3713.25
19844,3720.75
19861,3723.94
19858,3723.37
19845,3720.94
19842,3720.37
19852,3722.25
19846,3721.13
19867,3725.06
19860,3723.75
19849,3721.69
19849,3721.69
19864,3724.50
19851,3722.06
19763,3705.56
19832,3718.50
19830,3718.12
19844,3720.75
19861,3723.94
19851,3722.06
19864,3724.50
19851,3722.06
19842,3720.37
19855,3722.81
19860,3723.75
19869,3725.44
19855,3722.81
19843,3720.56
19778,3708.37
19804,3713.25
19844,3720.75
19845,3720.94
19823,3716.81
19826,3717.37
19835,3719.06
19861,3723.94
19861,3723.94
19867,3725.06
19837,3719.44
19842,3720.37
19854,3722.62
19855,3722.81
19850,3721.87
19757,3704.44
19769,3706.69
19846,3721.13
19856,3723.00
19855,3722.81
19847,3721.31
19839,3719.81
19832,3718.50
19847,3721.31
19845,3720.94
19849,3721.69
19839,3719.81
19832,3718.50
19836,3719.25
19759,3704.81
19766,3706.12
19826,3717.37
19829,3717.94
19825,3717.19
19836,3719.25
19841,3720.19
19821,3716.44
19825,3717.19
19817,3715.69
19820,3716.25
19838,3719.62
19812,3714.75
19818,3715.88
19783,3709.31
19729,3699.19
19829,3717.94
19836,3719.25
19832,3718.50
19818,3715.88
19789,3710.44
19805,3713.44
19833,3718.69
19833,3718.69
19807,3713.81
19813,3714.94
19817,3715.69
19829,3717.94
19823,3716.81
19822,3716.62
19732,3699.75
19784,3709.50
19823,3716.81
19823,3716.81
19820,3716.25
19821,3716.44
19788,3710.25
19771,3707.06
19818,3715.88
19805,3713.44
19812,3714.75
19814,3715.12
19795,3711.56
19806,3713.62
19809,3714.19
19811,3714.56
19809,3714.19
19798,3712.12
19721,3697.69
19742,3701.62
19781,3708.94
19763,3705.56
19763,3705.56
19771,3707.06
19789,3710.44
19794,3711.37
19797,3711.94
19785,3709.69
19767,3706.31
19757,3704.44
19784,3709.50
19771,3707.06
19682,3690.37
19711,3695.81
19751,3703.31
19779,3708.56
19784,3709.50
19785,3709.69
19759,3704.81
19757,3704.44
19773,3707.44
19760,3705.00
19783,3709.31
19774,3707.63
19764,3705.75
19767,3706.31
19776,3708.00
19665,3687.19
19703,3694.31
19771,3707.06
19763,3705.56
19764,3705.75
19774,3707.63
19787,3710.06
19779,3708.56
19760,3705.00
19756,3704.25
19775,3707.81
19784,3709.50
19786,3709.87
19767,3706.31
19723,3698.06
19703,3694.31
19759,3704.81
19765,3705.94
19778,3708.37
19746,3702.37
19767,3706.31
19780,3708.75
19772,3707.25
19788,3710.25
19780,3708.75
19767,3706.31
19774,3707.63
19784,3709.50
19692,3692.25
19724,3698.25
19758,3704.63
19748,3702.75
19777,3708.19
19784,3709.50
19787,3710.06
19771,3707.06
19765,3705.94
19771,3707.06
19785,3709.69
19783,3709.31
19787,3710.06
19765,3705.94
19728,3699.00
19709,3695.44
19776,3708.00
19747,3702.56
19769,3706.69
19751,3703.31
19756,3704.25
19780,3708.75
19772,3707.25
19779,3708.56
19765,3705.94
19760,3705.00
19768,3706.50
19783,3709.31
19783,3709.31
19673,3688.69
19712,3696.00
19756,3704.25
19772,3707.25
19775,3707.81
19778,3708.37
19769,3706.69
19768,3706.50
19770,3706.87
19782,3709.12
19787,3710.06
19776,3708.00
19784,3709.50
19787,3710.06
19790,3710.62
19753,3703.69
19761,3705.19
19775,3707.81
19678,3689.62
19761,3705.19
19765,3705.94
19768,3706.50
19778,3708.37
19765,3705.94
19775,3707.81
19786,3709.87
19799,3712.31
19800,3712.50
19792,3711.00
19769,3706.69
19786,3709.87
19696,3693.00
19766,3706.12
19781,3708.94
19773,3707.44
19763,3705.56
19784,3709.50
19803,3713.06
19819,3716.06
19796,3711.75
19793,3711.19
19786,3709.87
19795,3711.56
19777,3708.19
19801,3712.69
19688,3691.50
19767,3706.31
19784,3709.50
19797,3711.94
19798,3712.12
19789,3710.44
19781,3708.94
19781,3708.94
19785,3709.69
19777,3708.19
19791,3710.81
19776,3708.00
19768,3706.50
19777,3708.19
19711,3695.81
19752,3703.50
19740,3701.25
19761,3705.19
19759,3704.81
19766,3706.12
19769,3706.69
19777,3708.19
19768,3706.50
19759,3704.81
19763,3705.56
19769,3706.69
19779,3708.56
19776,3708.00
19744,3702.00
19717,3696.94
19683,3690.56
19748,3702.75
19775,3707.81
19764,3705.75
19754,3703.87
19763,3705.56
19771,3707.06
19777,3708.19
19776,3708.00
19764,3705.75
19757,3704.44
19768,3706.50
19776,3708.00
19719,3697.31
19693,3692.44
19748,3702.75
19749,3702.94
19777,3708.19
19761,3705.19
19783,3709.31
19753,3703.69
19766,3706.12
19770,3706.87
19783,3709.31
19786,3709.87
19783,3709.31
19766,3706.12
19724,3698.25
19710,3695.62
19772,3707.25
19755,3704.06
19769,3706.69
19769,3706.69
19786,3709.87
19796,3711.75
19794,3711.37
19782,3709.12
19761,3705.19
19783,3709.31
19795,3711.56
19795,3711.56
19800,3712.50
19662,3686.62
19709,3695.44
19795,3711.56
19801,3712.69
19800,3712.50
19781,3708.94
19782,3709.12
19773,3707.44
19791,3710.81
19793,3711.19
19793,3711.19
19741,3701.44
19754,3703.87
19790,3710.62
19779,3708.56
19791,3710.81
19775,3707.81
19750,3703.12
19744,3702.00
19789,3710.44
19784,3709.50
19791,3710.81
19776,3708.00
19769,3706.69
19797,3711.94
19809,3714.19
19782,3709.12
19759,3704.81
19781,3708.94
19770,3706.87
19805,3713.44
19696,3693.00
19740,3701.25
19775,3707.81
19778,3708.37
19794,3711.37
19810,3714.37
19810,3714.37
19799,3712.31
19781,3708.94
19809,3714.19
19820,3716.25
19823,3716.81
19787,3710.06
19809,3714.19
19763,3705.56
19743,3701.81
19798,3712.12
19811,3714.56
19794,3711.37
19793,3711.19
19821,3716.44
19833,3718.69
19838,3719.62
19833,3718.69
19813,3714.94
19817,3715.69
